id,movie_id,person_id,role,character_name
156,209112,20089,Actor,Jenet Klyburn
157,209112,1511243,Actor,Young Bruce Wayne
158,209112,62220,Actor,Martha Wayne
159,209112,15217,Director,
160,1452,17271,Actor,Superman / Clark Kent
161,1452,1979,Actor,Lex Luthor
162,1452,7517,Actor,Lois Lane
163,1452,11006,Actor,Richard White
164,1452,7489,Actor,Kitty Kowalski
165,1452,8924,Actor,Perry White
166,1452,53492,Actor,Jimmy Olsen
167,1452,2639,Actor,Martha Kent
168,1452,3084,Actor,Jor-El
169,1452,53493,Actor,Stanford
170,1452,53494,Actor,Jason White
171,1452,41318,Actor,Brutus
172,1452,1224391,Actor,Riley
173,1452,1272955,Actor,Grant
174,1452,193763,Actor,Bo the Bartender
175,1452,9032,Director,
176,10764,8784,Actor,James Bond
177,10764,18182,Actor,Camille Montes
178,10764,8789,Actor,Dominic Greene
179,10764,5309,Actor,M
180,10764,3753,Actor,René Mathis
181,10764,59620,Actor,Strawberry Fields
182,10764,2954,Actor,Felix Leiter
183,10764,35029,Actor,Gregg Beam
184,10764,2244,Actor,Mr. White
185,10764,62892,Actor,Elvis
186,10764,139549,Actor,Tanner
187,10764,11276,Actor,Foreign Secretary
188,10764,76857,Actor,General Medrano
189,10764,574355,Actor,Henry Mitchell
190,10764,52888,Actor,Guy Haines
191,10764,12995,Director,
192,58,85,Actor,Captain Jack Sparrow
193,58,114,Actor,Will Turner
194,58,116,Actor,Elizabeth Swann
195,58,1640,Actor,"William ""Bootstrap Bill"" Turner"
196,58,2440,Actor,Captain Davy Jones
197,58,1709,Actor,James Norrington
198,58,2449,Actor,Joshamee Gibbs
199,58,378,Actor,Governor Weatherby Swann
200,58,1710,Actor,Pintel
201,58,1711,Actor,Ragetti
202,58,2441,Actor,Lord Cutler Beckett
203,58,2038,Actor,Tia Dalma
204,58,1715,Actor,Cotton
205,58,4030,Actor,Marty
206,58,939,Actor,Ian Mercer
207,58,1704,Director,
208,57201,85,Actor,Tonto
209,57201,53807,Actor,John Reid / The Lone Ranger
210,57201,886,Actor,Butch Cavendish
211,57201,1283,Actor,Red Harrington
212,57201,18473,Actor,Dan Reid
213,57201,207,Actor,Latham Cole
214,57201,47720,Actor,Rebecca Reid
215,57201,12834,Actor,Captain Jay Fuller
216,57201,22063,Actor,Barret
217,57201,583040,Actor,Will
218,57201,71467,Actor,Skinny
219,57201,15374,Actor,Collins
220,57201,45051,Actor,Frank
221,57201,62752,Actor,Ray
222,57201,6951,Actor,Stache
223,57201,1704,Director,
224,49521,73968,Actor,Clark Kent / Kal-El
225,49521,9273,Actor,Lois Lane
226,49521,335,Actor,General Zod
227,49521,1269,Actor,Jonathan Kent
228,49521,2882,Actor,Martha Kent
229,49521,934,Actor,Jor-El
230,49521,2975,Actor,Perry White
231,49521,43202,Actor,Faora-Ul
232,49521,22227,Actor,Colonel Hardy
233,49521,213049,Actor,Lana Lang
234,49521,77223,Actor,Emerson
235,49521,8786,Actor,Lara Lor-Van
236,49521,31028,Actor,Dr. Emil Hamilton
237,49521,236302,Actor,Clark Kent at 13
238,49521,50217,Actor,Steve Lombard
239,49521,15217,Director,
240,2454,25130,Actor,Prince Caspian
241,2454,5528,Actor,Peter Pevensie
242,2454,5529,Actor,Susan Pevensie
243,2454,5527,Actor,Edmund Pevensie
244,2454,5526,Actor,Lucy Pevensie
245,2454,2166,Actor,King Miraz
246,2454,25132,Actor,Queen Prunaprismia
247,2454,22970,Actor,Trumpkin
248,2454,11184,Actor,Nikabrik
249,2454,25133,Actor,Doktor Cornelius
250,2454,17839,Actor,Lord Glozell
251,2454,7370,Actor,Lord Sopespian
252,2454,24496,Actor,Lord Scythley
253,2454,12044,Actor,Lord Donnon
254,2454,25134,Actor,Asterius
255,2454,5524,Director,
256,24428,3223,Actor,Tony Stark / Iron Man
257,24428,16828,Actor,Steve Rogers / Captain America
258,24428,103,Actor,Bruce Banner / The Hulk
259,24428,74568,Actor,Thor Odinson
260,24428,1245,Actor,Natasha Romanoff / Black Widow
261,24428,17604,Actor,Clint Barton / Hawkeye
262,24428,91606,Actor,Loki
